row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h,kernel_size_w,kernel_shape,num_kernel,pool_size_h,pool_size_w,fcl_size,dropout,optimizer,learning_rate,batch_size,num_epoch,config_align,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
13062,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,264,0.9159422874450683,0.859127652645111,0.8796575903892517,0.9669834017753601,52.493521976470944,val_AUC
13872,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,426,0.9165948987007141,0.8524685502052307,0.8845130324363708,0.9643453240394593,44.193454122543336,val_AUC
12179,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,29,45,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,29,0.9103481292724609,0.8712939977645874,0.849929404258728,0.9614477634429932,49.3602798461914,val_AUC
14728,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,148,75,2,3,3,square,16,3,5,16,0.5,adam,0.001,100,150,634,0.916075873374939,0.8356608986854553,0.8974560379981995,0.9555417180061341,54.68430757522583,val_AUC
15538,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,148,75,2,3,3,square,16,3,5,16,0.5,adam,0.001,100,150,796,0.916075873374939,0.8356608986854553,0.8974560379981995,0.9555417180061341,53.236943578720094,val_AUC
9749,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,29,45,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,353,0.9213824510574341,0.8790758967399597,0.8775285005569458,0.9649775266647339,39.362649822235106,val_AUC
11369,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,29,45,2,1,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,677,0.9231876850128173,0.875387966632843,0.8808635950088501,0.9645619034767151,35.8017192363739,val_AUC
8207,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,107,60,2,1,5,wide rec,16,5,5,16,0.5,adam,0.001,100,150,107,0.9120504021644592,0.8646023035049438,0.8615015506744385,0.9623419284820557,51.71518669128418,val_AUC
8951,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,41,45,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,203,0.9187049627304077,0.8890398383140564,0.8592950582504273,0.9613108992576599,52.99424061775208,val_AUC
10565,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,35,45,2,1,5,wide rec,16,5,4,16,0.5,adam,0.001,100,150,521,0.9209854006767273,0.845412814617157,0.9007895231246948,0.9587056517601014,43.5084924697876,val_AUC
4205,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,155,0.9162825226783753,0.8554009437561035,0.8774707794189454,0.9617998719215393,90.42294945716858,val_AUC
5022,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,162,75,2,3,5,wide rec,16,5,5,16,0.5,adam,0.001,100,150,324,0.9013595938682556,0.871086859703064,0.8285430669784546,0.9593850016593933,106.82721242904663,val_AUC
5717,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,371,0.9063665747642518,0.8602693200111389,0.8496744394302368,0.9581785321235656,67.70810589790344,val_AUC
6527,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,533,0.8927239775657654,0.8465642333030701,0.8269983887672424,0.9517495512962342,96.87969284057617,val_AUC
7337,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,695,0.8927239775657654,0.8465642333030701,0.8269983887672424,0.9517495512962342,96.12849774360657,val_AUC
3251,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,11,45,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,659,0.9204051256179809,0.8541629552841187,0.8883951902389526,0.961497449874878,71.31086559295655,val_AUC
69,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,69,60,2,1,3,wide rec,16,5,3,16,0.5,adam,0.001,100,150,69,0.9100150346755982,0.8593278646469116,0.8575648427009582,0.9607505559921264,94.8414846420288,val_AUC
2464,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,34,45,2,3,3,square,16,5,4,16,0.5,adam,0.001,100,150,520,0.9157261490821839,0.8300346732139587,0.9016628861427307,0.9595846056938171,86.60231585502625,val_AUC
946,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,136,75,2,3,3,square,16,4,4,16,0.5,adam,0.001,100,150,298,0.9189944744110108,0.8824616193771362,0.8662667989730835,0.9593877911567688,108.96922926902771,val_AUC
1719,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,99,60,2,1,3,wide rec,16,4,5,16,0.5,adam,0.001,100,150,423,0.9029351353645325,0.8828417062759399,0.8367149829864502,0.9580198407173157,74.53731970787048,val_AUC
19444,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,94,18,2,3,3,square,16,3,4,16,0.5,adam,0.001,100,150,94,0.9193815588951111,0.8541244029998779,0.8966978192329407,0.9687283992767334,9.417377376556397,val_AUC
20704,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,94,18,2,3,3,square,16,3,4,16,0.5,adam,0.001,100,150,346,0.9237130522727967,0.8632014513015747,0.9005639314651489,0.9669857859611511,10.216676807403564,val_AUC
20056,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,76,18,2,3,3,square,16,3,3,16,0.5,adam,0.001,100,150,202,0.9211962580680847,0.8595451354980469,0.8976618528366089,0.9663452506065369,8.411544227600098,val_AUC
21292,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,16,0.5,adam,0.001,100,150,430,0.9121957898139954,0.8257408022880555,0.8984340548515319,0.9606291770935058,11.295717144012452,val_AUC
21922,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,52,15,2,3,3,square,16,3,4,16,0.5,adam,0.001,100,150,556,0.9121957898139954,0.8257408022880555,0.8984340548515319,0.9606291770935058,11.27682375907898,val_AUC
18810,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,90,18,2,3,5,wide rec,16,5,3,16,0.5,adam,0.001,100,150,594,0.9242239356040954,0.8674879312515259,0.8998080968856812,0.9706293106079101,8.341824579238892,val_AUC
17508,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,48,15,2,3,3,square,16,5,3,16,0.5,adam,0.001,100,150,300,0.9294514417648315,0.8553198337554931,0.9230495810508728,0.9698130846023559,7.830154323577881,val_AUC
16212,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,12,12,2,3,3,square,16,5,3,16,0.5,adam,0.001,100,150,12,0.9209597945213318,0.8659107446670532,0.8904881715774536,0.968168830871582,9.174017477035523,val_AUC
16943,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,113,18,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,239,0.9280451774597168,0.8610043406486512,0.9161685585975647,0.9673308372497559,8.10438060760498,val_AUC
18186,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,96,18,2,3,5,wide rec,16,3,4,16,0.5,adam,0.001,100,150,474,0.9239332556724549,0.8533816337585449,0.9116970181465149,0.9662325143814087,7.7425374507904055,val_AUC
12273,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,123,75,2,1,3,wide rec,16,5,3,16,0.5,adam,0.001,100,150,123,0.9286108136177063,0.8784812331199646,0.8962384462356567,0.9595463871955872,54.782600784301756,val_accuracy
13908,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,138,75,2,3,5,wide rec,16,4,4,16,0.5,adam,0.001,100,150,462,0.9227236390113831,0.8720143914222718,0.8872469782829284,0.962843942642212,64.93864855766296,val_accuracy
13079,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,119,75,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,281,0.9192738056182861,0.8651064991950989,0.884088146686554,0.958232319355011,68.37497100830078,val_accuracy
14730,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,150,75,2,3,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,636,0.9164423942565918,0.832484757900238,0.9009385943412781,0.9537645578384399,51.927161884307864,val_accuracy
15540,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,150,75,2,3,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,798,0.9164423942565918,0.832484757900238,0.9009385943412781,0.9537645578384399,50.49941954612732,val_accuracy
9821,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,101,60,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,425,0.92939133644104,0.8677652478218079,0.9068215727806092,0.9643188357353211,44.94881525039673,val_accuracy
11464,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,16,0.5,adam,0.001,100,150,772,0.9288215041160583,0.8777180075645447,0.8991011142730713,0.960530698299408,52.14289922714234,val_accuracy
10645,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,115,75,2,1,1,square,16,4,3,16,0.5,adam,0.001,100,150,601,0.9257232308387756,0.857637095451355,0.9060320734977723,0.9542899012565613,39.05010542869568,val_accuracy
8247,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,147,75,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,147,0.9241446137428284,0.8436274528503418,0.916130530834198,0.9474406242370605,48.18392333984375,val_accuracy
8951,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,41,45,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,203,0.9187049627304077,0.8890398383140564,0.8592950582504273,0.9613108992576599,52.99424061775208,val_accuracy
4173,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,123,75,2,1,3,wide rec,16,5,3,16,0.5,adam,0.001,100,150,123,0.9208357214927674,0.8779061794281006,0.8731997728347778,0.9554873466491699,73.53406338691711,val_accuracy
5015,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,16,0.5,adam,0.001,100,150,317,0.9088770508766174,0.8821418046951294,0.8512008905410766,0.9580457806587219,106.21050748825073,val_accuracy
5778,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,108,60,2,3,5,wide rec,16,5,5,16,0.5,adam,0.001,100,150,432,0.9069028615951538,0.8591262817382812,0.8499828100204467,0.9566084146499634,91.88094482421874,val_accuracy
6599,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,605,0.9039903521537781,0.8596229553222656,0.8445894241333007,0.951367449760437,91.11354355812072,val_accuracy
7409,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,16,0.5,adam,0.001,100,150,767,0.9039903521537781,0.8596229553222656,0.8445894241333007,0.951367449760437,90.91625995635987,val_accuracy
2484,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,54,45,2,3,5,wide rec,16,5,5,16,0.5,adam,0.001,100,150,540,0.9228466272354126,0.8489453554153442,0.9016668915748596,0.9579611182212829,131.40938153266907,val_accuracy
3402,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,162,75,2,3,5,wide rec,16,5,5,16,0.5,adam,0.001,100,150,810,0.9226830244064331,0.861720061302185,0.8905528903007507,0.9541279077529907,110.12450609207153,val_accuracy
88,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,88,60,2,3,3,square,16,5,4,16,0.5,adam,0.001,100,150,88,0.9213077425956726,0.8575745344161987,0.8908983707427979,0.9587343215942383,73.74428539276123,val_accuracy
946,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,136,75,2,3,3,square,16,4,4,16,0.5,adam,0.001,100,150,298,0.9189944744110108,0.8824616193771362,0.8662667989730835,0.9593877911567688,108.96922926902771,val_accuracy
1733,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,113,75,2,1,5,wide rec,16,3,3,16,0.5,adam,0.001,100,150,437,0.9135323882102966,0.8856251001358032,0.8560554385185242,0.9434191703796386,107.17751135826111,val_accuracy
20686,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,76,18,2,3,3,square,16,3,3,16,0.5,adam,0.001,100,150,328,0.9259836196899414,0.8465537667274475,0.9222080707550049,0.9660179615020752,10.398852443695068,val_accuracy
19401,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,51,15,2,1,3,wide rec,16,3,4,16,0.5,adam,0.001,100,150,51,0.923780620098114,0.871060574054718,0.8912094593048095,0.9643282413482666,12.165244483947754,val_accuracy
20094,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,114,18,2,3,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,240,0.9236138343811036,0.860244882106781,0.9031315565109252,0.9656148076057434,11.39233922958374,val_accuracy
21351,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,489,0.9201826691627503,0.8404248952865601,0.9104745268821717,0.9546801209449768,10.350342512130737,val_accuracy
21981,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,16,0.5,adam,0.001,100,150,615,0.9201826691627503,0.8404248952865601,0.9104745268821717,0.9546801209449768,10.652171659469605,val_accuracy
18757,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,37,15,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,541,0.9333107233047485,0.8561789393424988,0.9324398517608643,0.9592432498931884,7.671852970123291,val_accuracy
17484,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,24,12,2,3,3,square,16,5,4,16,0.5,adam,0.001,100,150,276,0.9313313364982605,0.8590542912483216,0.92442307472229,0.9683986306190491,12.489170455932618,val_accuracy
18131,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,41,15,2,1,1,square,16,4,3,16,0.5,adam,0.001,100,150,419,0.9311178207397461,0.856672728061676,0.9248730897903442,0.9560399174690246,8.878702116012573,val_accuracy
16213,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,13,12,2,1,1,square,16,3,4,16,0.5,adam,0.001,100,150,13,0.9310023427009583,0.8649733901023865,0.9171613097190857,0.9609971880912781,11.245880889892579,val_accuracy
16867,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,37,15,2,1,1,square,16,3,3,16,0.5,adam,0.001,100,150,163,0.9307675123214721,0.8646272659301758,0.9170128345489502,0.9576932072639466,10.050177812576294,val_accuracy
12191,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,41,45,2,1,5,wide rec,16,3,5,16,0.5,adam,0.001,100,150,41,0.9052820444107056,0.8954371809959412,0.8295129418373108,0.9601487159729004,49.0626576423645,val_recall
