row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,row_idx_L1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align_L2,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
326,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,102,60,2,3,5,wide rec,16,4,5,0.5,2,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.9273223876953125,0.8703210234642029,0.9005792260169982,0.9723696708679199,72.19631953239441,val_AUC
1796,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,8,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,360,0.9217664241790772,0.8716333866119385,0.8883443117141724,0.9699597597122193,71.87367691993714,val_AUC
1316,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,123,75,2,1,3,wide rec,16,5,3,0.5,6,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,264,0.9359248995780944,0.885768187046051,0.9154082059860229,0.9691284656524658,66.21668725013733,val_AUC
3226,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,117,75,2,1,3,wide rec,16,4,3,0.5,14,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,646,0.9143672585487366,0.8370465397834778,0.8945196866989136,0.9687230825424195,50.37650089263916,val_AUC
3466,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,117,75,2,1,3,wide rec,16,4,3,0.5,15,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,694,0.9143672585487366,0.8370465397834778,0.8945196866989136,0.9687230825424195,50.24017992019653,val_AUC
5866,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,0.5,27,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9317652463912964,0.8670845031738281,0.9153009176254272,0.9744688034057617,69.56135210990905,val_AUC
4426,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,29,45,2,1,5,wide rec,16,4,4,0.5,21,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,22,0.9296854853630065,0.8742716908454895,0.9008454442024231,0.9709201455116272,49.664688682556154,val_AUC
6101,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,115,75,2,1,1,square,16,4,3,0.5,28,1,1,square,16,2,2,0.5,16,adam,0.01,100,150,357,0.9301713466644287,0.8631284952163696,0.9123384475708007,0.9706136226654053,44.550999546051024,val_AUC
7306,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,125,75,2,1,5,wide rec,16,5,3,0.5,33,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,598,0.9224294185638428,0.8946126818656921,0.8694040536880493,0.9695641756057739,81.33359136581421,val_AUC
5146,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,41,45,2,1,5,wide rec,16,3,5,0.5,24,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,166,0.9268325448036194,0.8397646188735962,0.9256400108337403,0.9661074280738831,47.8289379119873,val_AUC
8726,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,155,75,2,1,5,wide rec,16,4,5,0.5,39,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,18,0.925155508518219,0.8788756132125854,0.8844204187393189,0.9709832668304443,137.06965193748474,val_AUC
8986,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,162,75,2,3,5,wide rec,16,5,5,0.5,40,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,70,0.8986219167709351,0.8982276082038879,0.8125198483467102,0.9673110365867614,94.98046727180481,val_AUC
10666,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,47,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,406,0.9146597385406494,0.8732143402099609,0.8634803414344787,0.9670772075653076,102.5205762386322,val_AUC
10906,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,48,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,454,0.9146597385406494,0.8732143402099609,0.8634803414344787,0.9670772075653076,104.69657158851624,val_AUC
9206,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,0.5,41,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,114,0.9065697431564331,0.8700072407722473,0.8527191877365112,0.9653876304626465,70.55808367729188,val_AUC
14506,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,162,75,2,3,5,wide rec,16,5,5,0.5,65,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,310,0.9251589298248291,0.8511917233467102,0.9074945449829102,0.9695066809654236,156.8636950969696,val_AUC
13286,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,69,60,2,1,3,wide rec,16,5,3,0.5,60,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,66,0.919001579284668,0.8984193086624146,0.8592791080474853,0.9668256640434265,157.27015352249146,val_AUC
14026,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,99,60,2,1,3,wide rec,16,4,5,0.5,63,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,214,0.9239553451538086,0.8889371871948242,0.8778833150863647,0.9658070564270019,116.10334906578063,val_AUC
13551,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,34,45,2,3,3,square,16,5,4,0.5,61,1,3,wide rec,16,2,2,0.5,16,adam,0.01,100,150,119,0.9103276610374451,0.8734727740287781,0.8479628205299378,0.9655552268028259,90.65890274047851,val_AUC
16186,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,41,45,2,1,5,wide rec,16,3,5,0.5,72,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,646,0.9202053070068359,0.8592785477638245,0.8880372643470764,0.9623657941818238,119.67824883460999,val_AUC
