"","epoch_type","config","seed_split","m","step_size","kernel_size_h","kernel_size_w","kernel_shape","num_kernel","pool_size_h","pool_size_w","fcl_size","dropout","optimizer","learning_rate","batch_size","num_epoch"
"1","30s",1,890,45,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"2","30s",1,9818,45,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"3","30s",1,7,45,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"4","30s",1,155,45,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"5","30s",1,642,45,2,1,1,"square",16,3,3,16,0.5,"adam",0.001,100,150
"6","30s",2,890,45,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"7","30s",2,9818,45,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"8","30s",2,7,45,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"9","30s",2,155,45,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"10","30s",2,642,45,2,3,1,"long rec",16,3,3,16,0.5,"adam",0.001,100,150
"11","30s",3,890,45,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"12","30s",3,9818,45,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"13","30s",3,7,45,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"14","30s",3,155,45,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"15","30s",3,642,45,2,1,3,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"16","30s",4,890,45,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"17","30s",4,9818,45,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"18","30s",4,7,45,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"19","30s",4,155,45,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"20","30s",4,642,45,2,3,3,"square",16,3,3,16,0.5,"adam",0.001,100,150
"21","30s",5,890,45,2,1,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"22","30s",5,9818,45,2,1,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"23","30s",5,7,45,2,1,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"24","30s",5,155,45,2,1,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"25","30s",5,642,45,2,1,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"26","30s",6,890,45,2,3,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"27","30s",6,9818,45,2,3,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"28","30s",6,7,45,2,3,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"29","30s",6,155,45,2,3,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"30","30s",6,642,45,2,3,5,"wide rec",16,3,3,16,0.5,"adam",0.001,100,150
"31","30s",7,890,45,2,1,1,"square",16,4,3,16,0.5,"adam",0.001,100,150
"32","30s",7,9818,45,2,1,1,"square",16,4,3,16,0.5,"adam",0.001,100,150
"33","30s",7,7,45,2,1,1,"square",16,4,3,16,0.5,"adam",0.001,100,150
"34","30s",7,155,45,2,1,1,"square",16,4,3,16,0.5,"adam",0.001,100,150
"35","30s",7,642,45,2,1,1,"square",16,4,3,16,0.5,"adam",0.001,100,150
"36","30s",8,890,45,2,3,1,"long rec",16,4,3,16,0.5,"adam",0.001,100,150
"37","30s",8,9818,45,2,3,1,"long rec",16,4,3,16,0.5,"adam",0.001,100,150
"38","30s",8,7,45,2,3,1,"long rec",16,4,3,16,0.5,"adam",0.001,100,150
"39","30s",8,155,45,2,3,1,"long rec",16,4,3,16,0.5,"adam",0.001,100,150
"40","30s",8,642,45,2,3,1,"long rec",16,4,3,16,0.5,"adam",0.001,100,150
"41","30s",9,890,45,2,1,3,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"42","30s",9,9818,45,2,1,3,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"43","30s",9,7,45,2,1,3,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"44","30s",9,155,45,2,1,3,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"45","30s",9,642,45,2,1,3,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"46","30s",10,890,45,2,3,3,"square",16,4,3,16,0.5,"adam",0.001,100,150
"47","30s",10,9818,45,2,3,3,"square",16,4,3,16,0.5,"adam",0.001,100,150
"48","30s",10,7,45,2,3,3,"square",16,4,3,16,0.5,"adam",0.001,100,150
"49","30s",10,155,45,2,3,3,"square",16,4,3,16,0.5,"adam",0.001,100,150
"50","30s",10,642,45,2,3,3,"square",16,4,3,16,0.5,"adam",0.001,100,150
"51","30s",11,890,45,2,1,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"52","30s",11,9818,45,2,1,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"53","30s",11,7,45,2,1,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"54","30s",11,155,45,2,1,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"55","30s",11,642,45,2,1,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"56","30s",12,890,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"57","30s",12,9818,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"58","30s",12,7,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"59","30s",12,155,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"60","30s",12,642,45,2,3,5,"wide rec",16,4,3,16,0.5,"adam",0.001,100,150
"61","30s",13,890,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"62","30s",13,9818,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"63","30s",13,7,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"64","30s",13,155,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"65","30s",13,642,45,2,1,1,"square",16,5,3,16,0.5,"adam",0.001,100,150
"66","30s",14,890,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"67","30s",14,9818,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"68","30s",14,7,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"69","30s",14,155,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
"70","30s",14,642,45,2,3,1,"long rec",16,5,3,16,0.5,"adam",0.001,100,150
